[[34m2026-04-24 02:10:15[0m] (step=0000650) Train Loss mse: 0.1996, Train Loss ce: 0.0276, Train Steps/Sec: 0.17, Tokens/Sec: 31.51k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23229, Sample Lens: [5803, 5803, 5817, 5806], ETA: 7.13h, 
[[34m2026-04-24 02:11:14[0m] (step=0000660) Train Loss mse: 0.2027, Train Loss ce: 0.0275, Train Steps/Sec: 0.17, Tokens/Sec: 31.51k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23230, Sample Lens: [5814, 5803, 5809, 5804], ETA: 7.11h, 
[[34m2026-04-24 02:12:13[0m] (step=0000670) Train Loss mse: 0.1921, Train Loss ce: 0.0313, Train Steps/Sec: 0.17, Tokens/Sec: 31.53k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23233, Sample Lens: [5811, 5804, 5805, 5813], ETA: 7.09h, 
[[34m2026-04-24 02:13:11[0m] (step=0000680) Train Loss mse: 0.2221, Train Loss ce: 0.0304, Train Steps/Sec: 0.17, Tokens/Sec: 31.62k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23249, Sample Lens: [5808, 5817, 5810, 5814], ETA: 7.06h, 
[[34m2026-04-24 02:14:11[0m] (step=0000690) Train Loss mse: 0.2394, Train Loss ce: 0.0332, Train Steps/Sec: 0.17, Tokens/Sec: 31.45k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23220, Sample Lens: [5805, 5808, 5804, 5803], ETA: 7.08h, 
[[34m2026-04-24 02:15:10[0m] (step=0000700) Train Loss mse: 0.1984, Train Loss ce: 0.0285, Train Steps/Sec: 0.17, Tokens/Sec: 31.42k, MFU: 20.9%, Local Samples: 4, Global Samples: 32, Seq Len: 23227, Sample Lens: [5805, 5803, 5813, 5806], ETA: 7.06h, 
[[34m2026-04-24 02:16:09[0m] (step=0000710) Train Loss mse: 0.2012, Train Loss ce: 0.0345, Train Steps/Sec: 0.17, Tokens/Sec: 31.57k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23238, Sample Lens: [5815, 5803, 5816, 5804], ETA: 7.02h, 
[[34m2026-04-24 02:17:07[0m] (step=0000720) Train Loss mse: 0.2037, Train Loss ce: 0.0286, Train Steps/Sec: 0.17, Tokens/Sec: 31.63k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23242, Sample Lens: [5815, 5803, 5806, 5818], ETA: 6.99h, 
[[34m2026-04-24 02:18:06[0m] (step=0000730) Train Loss mse: 0.2185, Train Loss ce: 0.0310, Train Steps/Sec: 0.17, Tokens/Sec: 31.47k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23257, Sample Lens: [5810, 5818, 5813, 5816], ETA: 7.01h, 
[[34m2026-04-24 02:19:05[0m] (step=0000740) Train Loss mse: 0.2291, Train Loss ce: 0.0305, Train Steps/Sec: 0.17, Tokens/Sec: 31.51k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23253, Sample Lens: [5816, 5809, 5817, 5811], ETA: 6.98h, 
[[34m2026-04-24 02:20:04[0m] (step=0000750) Train Loss mse: 0.2296, Train Loss ce: 0.0305, Train Steps/Sec: 0.17, Tokens/Sec: 31.62k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23242, Sample Lens: [5804, 5816, 5804, 5818], ETA: 6.94h, 
[[34m2026-04-24 02:21:03[0m] (step=0000760) Train Loss mse: 0.2272, Train Loss ce: 0.0312, Train Steps/Sec: 0.17, Tokens/Sec: 31.58k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23239, Sample Lens: [5803, 5813, 5804, 5819], ETA: 6.93h, 
[[34m2026-04-24 02:22:02[0m] (step=0000770) Train Loss mse: 0.2523, Train Loss ce: 0.0296, Train Steps/Sec: 0.17, Tokens/Sec: 31.70k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23236, Sample Lens: [5816, 5803, 5813, 5804], ETA: 6.89h, 
[[34m2026-04-24 02:23:00[0m] (step=0000780) Train Loss mse: 0.2024, Train Loss ce: 0.0264, Train Steps/Sec: 0.17, Tokens/Sec: 31.62k, MFU: 21.1%, Local Samples: 4, Global Samples: 32, Seq Len: 23238, Sample Lens: [5814, 5805, 5805, 5814], ETA: 6.89h, 
[[34m2026-04-24 02:23:59[0m] (step=0000790) Train Loss mse: 0.2451, Train Loss ce: 0.0303, Train Steps/Sec: 0.17, Tokens/Sec: 31.53k, MFU: 21.0%, Local Samples: 4, Global Samples: 32, Seq Len: 23236, Sample Lens: [5803, 5816, 5803, 5814], ETA: 6.90h, 
